GeneID	Control_1	Control_2	Erb1KO_1	Erb1KO_2
1/2-SBSRNA4	12	18	38	23
A1BG	199	184	98	105
A1BG-AS1	279	318	285	203
A1CF	0	0	0	0
A2LD1	163	126	129	134
A2M	3	0	2	2
A2ML1	8	3	4	6
A2MP1	0	1	1	0
A4GALT	198	188	133	106
A4GNT	1	0	0	0
AA06	0	0	0	0
AAA1	0	1	0	0
AAAS	2832	2516	2577	1836
AACS	5643	5115	5002	3388
AACSP1	4	3	6	1
AADAC	0	3	0	0
AADACL2	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADAT	440	291	582	382
AAGAB	5027	4671	5684	3762
AAK1	2520	2183	3090	2113
AAMP	7871	7612	7315	5995
AANAT	5	1	0	4
AARS	89996	74123	98451	72790
AARS2	1099	990	1097	784
AARSD1	611	571	604	454
AASDH	686	522	748	446
AASDHPPT	1114	978	1257	1075
AASS	352	266	482	303
AATF	2549	2273	2801	2004
AATK	40	26	26	21
AATK-AS1	0	0	0	0
ABAT	12666	13436	16971	8666
ABCA1	16	13	21	6
ABCA10	2	2	4	4
ABCA11P	126	119	130	95
ABCA12	34470	27319	37421	23547
ABCA13	1	0	0	0
ABCA17P	7	3	1	2
ABCA2	4249	3706	3060	1761
ABCA3	6965	6149	6608	4408
ABCA4	11	2	12	8
ABCA5	1918	1797	3388	2355
ABCA6	0	0	1	0
ABCA7	653	517	523	239
ABCA8	1	0	2	1
ABCA9	0	2	1	2
ABCB1	5	4	8	3
ABCB10	662	609	722	655
ABCB11	0	0	0	0
ABCB4	292	242	205	131
ABCB5	0	0	0	0
ABCB6	3464	3182	2702	1915
ABCB7	1395	1082	1216	842
ABCB8	1404	1170	1083	845
ABCB9	1069	1015	867	558
ABCC1	3366	3021	4106	2709
ABCC10	1393	1367	1195	791
ABCC11	388	354	507	262
ABCC12	10	6	15	8
ABCC13	0	0	0	0
ABCC2	32	44	43	26
ABCC3	3202	3839	5158	2599
ABCC4	108	82	103	79
ABCC5	10546	10382	11455	6987
ABCC6	117	99	67	41
ABCC6P1	3	3	2	1
ABCC6P2	8	7	6	6
ABCC8	202	224	248	161
ABCC9	4	6	4	1
ABCD1	640	590	744	479
ABCD2	0	0	0	0
ABCD3	1417	1381	1820	1182
ABCD4	1430	1394	1246	955
ABCE1	3334	2768	4627	3617
ABCF1	6069	5399	6680	4245
ABCF2	3912	3718	4244	2755
ABCF3	4342	3951	4218	2909
ABCG1	2812	2619	2017	1590
ABCG2	81	89	126	63
ABCG4	2	2	1	8
ABCG5	1	0	0	0
ABCG8	0	0	0	1
ABHD1	21	16	28	16
ABHD10	2079	1801	2142	1635
ABHD11	3180	2972	2517	1734
ABHD11-AS1	12	24	8	11
ABHD12	9026	8393	8922	6460
ABHD12B	0	1	0	0
ABHD13	322	307	454	386
ABHD14A	103	111	111	83
ABHD14A-ACY1	0	0	0	0
ABHD14B	3656	3431	3743	2849
ABHD15	984	947	888	622
ABHD16A	3863	3682	4351	3188
ABHD16B	1	1	0	0
